network,station,channel,latitude,longitude,elevation
Z6,10,DP1,47.585165,-122.289932,58
Z6,10,DP2,47.585165,-122.289932,58
Z6,10,DPZ,47.585165,-122.289932,58
Z6,100,DP1,47.58394,-122.292595,61
Z6,100,DP2,47.58394,-122.292595,61
Z6,100,DPZ,47.58394,-122.292595,61
Z6,11,DP1,47.583488,-122.289343,38
Z6,11,DP2,47.583488,-122.289343,38
Z6,11,DPZ,47.583488,-122.289343,38
Z6,12,DP1,47.580996,-122.289417,38
Z6,12,DP2,47.580996,-122.289417,38
Z6,12,DPZ,47.580996,-122.289417,38
Z6,13,DP1,47.615969,-122.287639,91
Z6,13,DP2,47.615969,-122.287639,91
Z6,13,DPZ,47.615969,-122.287639,91
Z6,14,DP1,47.61494,-122.285657,69
Z6,14,DP2,47.61494,-122.285657,69
Z6,14,DPZ,47.61494,-122.285657,69
Z6,15,DP1,47.612696,-122.286659,81
Z6,15,DP2,47.612696,-122.286659,81
Z6,15,DPZ,47.612696,-122.286659,81
Z6,16,DP1,47.608726,-122.287684,94
Z6,16,DP2,47.608726,-122.287684,94
Z6,16,DPZ,47.608726,-122.287684,94
Z6,17,DP1,47.607086,-122.28877,99
Z6,17,DP2,47.607086,-122.28877,99
Z6,17,DPZ,47.607086,-122.28877,99
Z6,18,DP1,47.605374,-122.288381,67
Z6,18,DP2,47.605374,-122.288381,67
Z6,18,DPZ,47.605374,-122.288381,67
Z6,19,DP1,47.603766,-122.287405,21
Z6,19,DP2,47.603766,-122.287405,21
Z6,19,DPZ,47.603766,-122.287405,21
Z6,20,DP1,47.601677,-122.287181,30
Z6,20,DP2,47.601677,-122.287181,30
Z6,20,DPZ,47.601677,-122.287181,30
Z6,21,DP1,47.599606,-122.28834,53
Z6,21,DP2,47.599606,-122.28834,53
Z6,21,DPZ,47.599606,-122.28834,53
Z6,22,DP1,47.597054,-122.287483,9
Z6,22,DP2,47.597054,-122.287483,9
Z6,22,DPZ,47.597054,-122.287483,9
Z6,23,DP1,47.596431,-122.288569,18
Z6,23,DP2,47.596431,-122.288569,18
Z6,23,DPZ,47.596431,-122.288569,18
Z6,24,DP1,47.594489,-122.290178,34
Z6,24,DP2,47.594489,-122.290178,34
Z6,24,DPZ,47.594489,-122.290178,34
